Database initialized successfully
(node:24064) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-19T06:48:23.115Z] POST /api/v1/auth/login
[2026-05-19T06:48:23.411Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:23.414Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:23.417Z] GET /api/v1/inbound
[2026-05-19T06:48:23.420Z] GET /api/v1/outbound
[2026-05-19T06:48:23.421Z] GET /api/v1/outbound
[2026-05-19T06:48:23.572Z] GET /api/v1/alerts
[2026-05-19T06:48:23.574Z] GET /api/v1/alerts
[2026-05-19T06:48:24.822Z] POST /api/v1/auth/login
[2026-05-19T06:48:25.068Z] GET /api/v1/alerts
[2026-05-19T06:48:25.069Z] GET /api/v1/alerts
[2026-05-19T06:48:31.352Z] POST /api/v1/auth/login
[2026-05-19T06:48:31.661Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:31.664Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:31.667Z] GET /api/v1/outbound
[2026-05-19T06:48:31.838Z] GET /api/v1/alerts
[2026-05-19T06:48:31.840Z] GET /api/v1/alerts
[2026-05-19T06:48:32.931Z] POST /api/v1/auth/login
[2026-05-19T06:48:33.177Z] GET /api/v1/alerts
[2026-05-19T06:48:33.186Z] POST /api/v1/auth/login
[2026-05-19T06:48:33.429Z] GET /api/v1/alerts
[2026-05-19T06:48:34.047Z] POST /api/v1/auth/login
[2026-05-19T06:48:34.364Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:34.370Z] GET /api/v1/inbound
[2026-05-19T06:48:34.372Z] GET /api/v1/inventory/stats
[2026-05-19T06:48:34.375Z] GET /api/v1/outbound
[2026-05-19T06:48:34.376Z] GET /api/v1/inbound
